Name,Price,ReviewRatio,TotalReviews,Genres
Supipara - Chapter 1 Spring Has Come!,65,0.9882,255,Adventure
Mystery Solitaire The Black Raven,0,0.875,24,Casual
Armored Brigade II,10,0.9,130,"Simulation,Strategy"
Hepta Beats,0,0.875,32,"Casual,Indie"
MUMBA IV: Egypt Jewels,0,0.76,25,"Action,Casual,Indie,Strategy"
OMNIMUS,0,0.8868,53,"Adventure,Indie"
Fantasy General II,0,0.83,1235,Strategy
"Forests, Fields and Fortresses",70,0.9697,66,"Casual,Indie"
DogDogDog,66,0.7727,44,"Adventure,Casual,Indie"
Redline,0,0.6789,109,"Action,Racing"
Evertried,0,0.7971,69,"Indie,Strategy"
Bad North: Jotunn Edition,80,0.9319,12198,"Action,Indie,Simulation"
Lucky Night: Texas Hold'em VR,0,0.8045,179,"Casual,Free To Play"
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,0,0.6881,109,Action
DrumKit VR - Play drum kit in the world of VR,0,0.3182,22,Audio Production
Wizard Shrimp,0,0.9794,97,"Action,Casual,Indie"
Epic Arena,0,0.6533,300,"Free To Play,Indie,Strategy"
Pixel Game Maker Series Werewolf Princess Kaguya,0,1.0,12,"Action,Indie"
OPERATION TEMPLE,80,0.8333,12,"Action,Adventure"
Fateless,0,0.7429,35,Action
MazeBot,0,0.907,43,"Action,Casual,Indie"
The Metronomicon: Slay The Dance Floor,0,0.8354,395,"Action,Indie,RPG"
Virus at Home,0,0.9118,34,"Action,Adventure,Indie"
Who is Paul,70,1.0,13,"Action,Adventure,Indie"
I fell from Grace,0,0.7105,76,"Adventure,Indie"
Evan's Remains,0,0.8768,1867,"Adventure,Casual,Indie"
Seed of Pandora: Legend of the Gaia Tree,0,0.5333,15,RPG
Zero-G Gunfight,0,0.9672,61,Indie
Eastshade,0,0.8935,5157,"Adventure,Indie"
Shadow of the Tomb Raider: Definitive Edition,0,0.7299,17861,"Action,Adventure"
New kind of adventure,50,0.4177,1513,"Adventure,Indie,RPG,Early Access"
Tales of Sintra: The Dark Vortex,0,0.7308,26,"Action,Adventure,Indie,RPG"
Hole in Won,0,0.8718,39,"Casual,Indie"
Museum No.9,0,0.7656,209,"Adventure,Indie,RPG,Simulation,Strategy"
Geek Resort,0,0.5833,12,"Casual,Simulation"
Chasing Tails ~A Promise in the Snow~,0,0.9243,3921,Adventure
TIMEGAL HD-Remaster,0,0.8824,17,Action
Natsu no Sagashimono ~What We Found That Summer~,0,0.8819,779,"Casual,RPG"
Touhou Bunkachou ～ Shoot the Bullet.,0,0.9655,87,"Action,Indie"
Sniper Ships: Shoot'em Up on Rails,30,0.8846,26,"Action,Casual,Indie"
BeeFender,0,0.8,15,"Violent,Gore,Action,Casual,Indie"
Ragdoll Madness,0,0.7059,34,"Adventure,Casual,Indie,Early Access"
The Deep Paths: Labyrinth Of Andokost,75,0.5873,126,RPG
Cat Quest II,75,0.9571,6365,"Action,Adventure,Indie,RPG"
Time Warp Infinite,0,0.9333,15,"Action,Casual,Indie"
March of Industry: Very Capitalist Factory Simulator Entertainments,0,0.3333,78,"Indie,Simulation,Strategy"
My Lands: Black Gem Hunting,0,0.8367,3306,"Casual,Free To Play,Indie,Massively Multiplayer,Strategy"
Alone in the Dark: The New Nightmare,75,0.7026,622,"Action,Adventure"
Foto Flash 2,0,0.6667,60,"Sexual Content,Nudity,Adventure,Indie"
Bhavacakra Grace,0,0.6667,12,"Adventure,Free To Play,Indie,RPG"
Darkness Under My Bed,0,0.9167,84,"Adventure,Indie"
What A Trash Game!,0,0.6,15,"Casual,Indie,Simulation,Strategy"
Gaijin Charenji 1 : Kiss or Kill,80,0.8889,27,"Action,Adventure,Indie"
MOR...E TRAINER (Learning Morse Code),50,0.8667,15,Education
My Vet Practice,0,0.8108,37,"Casual,Simulation"
The Other Me,0,0.5833,24,"Action,Adventure,Indie"
Lost World,70,0.5741,270,"Action,Adventure,Simulation"
Zeitz Machz √Rhapsody,0,0.8,15,"Adventure,Free To Play"
Time Splatter,0,0.7,80,"Action,Indie"
it's always monday,0,0.7889,289,"Adventure,Indie,Simulation"
Nyasha Winter,0,0.575,40,"Casual,Indie"
Blood of Magic,0,0.4,75,"Adventure,Indie,RPG,Simulation,Strategy,Early Access"
Ice Cream Fantasy,0,0.6,10,"Indie,Strategy"
Talewind,90,0.5755,106,"Action,Adventure,Indie"
Nancy Drew®: Danger by Design,0,0.8269,156,Adventure
Desolation Tycoon,0,0.875,32,"Indie,Strategy"
Waves Of Death VR,0,0.0,10,"Action,Adventure,Indie"
Gravity Ball,0,0.5667,30,"Casual,Indie"
Miko Adventures Puffball,0,0.9474,19,"Action,Adventure,Casual,Indie"
Rolling Macho:Tumbling to Earth,0,0.7895,19,"Action,Indie"
Cicadas - The IQA Edition,0,0.3684,19,"Adventure,Casual,Indie,RPG,Simulation"
Soulestination,0,0.9197,585,"Adventure,Indie,RPG,Strategy"
Amigo: Kebab Simulator,30,0.6867,166,Simulation
RoomNo.404,0,1.0,22,Indie
Fear deeps,0,0.7586,29,"Adventure,Indie"
PAYDAY 3,50,0.4344,58692,"Action,Adventure,RPG"
Super Squidlit,0,0.913,23,"Action,Adventure,Indie,RPG"
The Happy Hereafter,0,0.7859,425,"Casual,Strategy"
Dungeon's Legion,0,0.881,538,"Adventure,Casual,Indie,RPG"
SpriteStack,0,0.5895,95,"Animation & Modeling,Design & Illustration,Game Development"
SHADE The Border Collie Flycatcher,70,0.8333,12,"Action,Casual,Indie"
NAL Is Alive,51,0.766,47,"Violent,Gore,Indie,Early Access"
Happy Empire - A Bouquet for the Princess,0,0.6104,77,"Adventure,Casual,Indie,Simulation,Strategy"
Bingo VR,0,0.7059,34,"Casual,Free To Play,Indie"
Hexle,0,1.0,34,"Casual,Indie,Strategy"
Reanimation Inc.,0,0.8403,119,"Indie,Simulation"
Gelluloid Domination,0,1.0,11,"Action,Simulation,Strategy"
Doll Catching Simulator,0,0.8,25,"Casual,Indie,Simulation,Free To Play"
True Game,0,0.8824,51,"Adventure,Casual,Indie,RPG,Strategy"
Fuel Station Simulator,0,0.6667,57,"Action,Adventure,Indie,Simulation"
Mystic Space,0,0.5625,16,"Action,Adventure,Casual,Indie"
panomap,50,0.9091,11,"Casual,Indie,Strategy"
Outgun,0,0.9167,24,"Action,Casual,Free To Play,Indie"
Heroic Armored Company,0,0.5691,188,"Action,Adventure,Casual,Indie,Racing,Simulation,Early Access"
