Genre,games_count,free_games,free_pct,paid_pct,avg_price_paid,median_price_paid,paid_games,pct_premium_paid
Indie,79809,51894,65.02,34.98,55.01,51.0,27915.0,86.86
Casual,49738,32499,65.34,34.66,54.01,51.0,17239.0,86.64
Action,45752,29880,65.31,34.69,57.68,59.5,15872.0,88.84
Adventure,44664,27348,61.23,38.77,56.2,51.0,17316.0,88.32
Simulation,23928,14655,61.25,38.75,53.62,50.0,9273.0,85.39
Strategy,22197,14328,64.55,35.45,55.33,51.0,7869.0,86.43
RPG,20800,12758,61.34,38.66,52.98,50.0,8042.0,85.35
Free To Play,12019,11950,99.43,0.57,48.43,50.0,69.0,86.96
Early Access,10978,8549,77.87,22.13,39.86,35.0,2429.0,64.8
Sports,4853,3234,66.64,33.36,60.27,60.0,1619.0,89.25
Racing,4057,2644,65.17,34.83,60.12,60.0,1413.0,89.74
Massively Multiplayer,2507,2084,83.13,16.87,55.26,51.0,423.0,88.18
Utilities,1072,839,78.26,21.74,43.88,42.0,233.0,75.97
Design & Illustration,578,420,72.66,27.34,48.14,50.0,158.0,81.01
Animation & Modeling,475,352,74.11,25.89,44.13,45.0,123.0,80.49
Education,460,357,77.61,22.39,51.96,50.0,103.0,86.41
Violent,401,353,88.03,11.97,66.0,60.0,48.0,97.92
Video Production,336,266,79.17,20.83,44.87,50.0,70.0,75.71
Game Development,319,229,71.79,28.21,46.33,50.0,90.0,77.78
Gore,249,218,87.55,12.45,69.29,70.0,31.0,100.0
Audio Production,223,165,73.99,26.01,46.66,45.0,58.0,82.76
Software Training,218,157,72.02,27.98,46.69,50.0,61.0,85.25
Photo Editing,180,133,73.89,26.11,42.66,40.0,47.0,85.11
Web Publishing,112,80,71.43,28.57,54.88,50.0,32.0,84.38
Nudity,90,64,71.11,28.89,64.15,60.0,26.0,96.15
Sexual Content,87,67,77.01,22.99,61.75,55.5,20.0,90.0
